id;"""building""";"""addr_stree""";"""addr_hou_1""";число_жителей
138;house;Вилюйский тракт 3 км;27;24
139;house;Вилюйский тракт 3 км;44949;20
140;house;Вилюйский тракт 3 км;31;28
141;house;Вилюйский тракт 3 км;44953;22
142;yes;Вилюйский тракт 3 км;45078;30
143;yes;Вилюйский тракт 3 км;44927;37
144;yes;Вилюйский тракт 3 км;44958;12
145;house;Вилюйский тракт 3 км;49;33
146;yes;Вилюйский тракт 3 км;45078;34
147;yes;Вилюйский тракт 5 км;5;18
148;yes;Вилюйский тракт 5 км;3;19
149;yes;Вилюйский тракт 5 км;к4;30
150;yes;Вилюйский тракт 5 км;1А;12
151;house;Вилюйский тракт 7км;43/3;27
152;house;Вилюйский тракт 7км;48/1;36
153;residential;Гимеинская улица;2;37
154;yes;Гимеинская улица;7;27
155;residential;Гимеинская улица;9;33
156;yes;Гимеинская улица;44935;24
157;residential;Гимеинская улица;21Б;29
158;residential;Гимеинская улица;30;29
159;residential;Гимеинская улица;15;13
160;residential;Гимеинская улица;19;32
161;residential;Гимеинская улица;13;17
162;yes;Гимеинская улица;45040;36
163;residential;Гимеинская улица;11;11
164;residential;Гимеинская улица;20;28
165;residential;Гимеинская улица;12;26
166;residential;Гимеинская улица;22;22
167;residential;Гимеинская улица;16;30
168;residential;Гимеинская улица;10;32
169;residential;Гимеинская улица;14;20
170;residential;Гимеинская улица;44942;16
171;residential;Гимеинская улица;6;37
172;residential;Гимеинская улица;8;32
173;residential;Гимеинская улица;29;10
174;residential;Гимеинская улица;21А;31
175;dormitory;Гимеинская улица;21;20
176;residential;Гимеинская улица;25;31
177;house;Гимеинская улица;32/9;27
178;residential;Гимеинская улица;18;27
179;residential;Гимеинская улица;23;26
180;dormitory;Гимеинская улица;24;20
181;residential;Гимеинская улица;31;15
182;residential;Гимеинская улица;17;9
183;house;Гимеинская улица;31/1Б;15
184;house;Гимеинская улица;31Б;20
185;house;Гимеинская улица;31/2;14
186;house;Гимеинская улица;31/14;36
187;house;Гимеинская улица;45016;14
188;house;Гимеинская улица;31/4;27
189;house;Гимеинская улица;45077;21
190;house;Гимеинская улица;31/6;26
191;house;Гимеинская улица;45138;20
192;house;Гимеинская улица;45165;21
193;house;Гимеинская улица;45230;34
194;residential;Ильменская улица;63;31
195;residential;Ильменская улица;59/4;21
196;residential;Ильменская улица;63/2;15
197;residential;Ильменская улица;;29
198;residential;Ильменская улица;59;13
199;residential;Ильменская улица;57/9;35
200;house;Ильменская улица;61/1А;19
201;apartments;Ильменская улица;61/1Б;26
202;residential;Ильменская улица;57;26
203;house;Ильменская улица;9;34
204;house;Ильменская улица;11;37
205;house;Ильменская улица;1;21
206;house;Ильменская улица;13;36
207;yes;Ильменская улица;3;17
208;yes;Ильменская улица;7;13
209;house;Ильменская улица;15;19
210;house;Ильменская улица;5;31
211;house;Ильменская улица;17;27
212;yes;Ильменская улица;53/2;10
213;apartments;Ильменская улица;57/4;23
214;house;Ильменская улица;45;31
215;yes;Ильменская улица;25;27
216;yes;Ильменская улица;55/4;33
217;apartments;Ильменская улица;57/2;22
218;residential;Ильменская улица;55/4;14
219;residential;Ильменская улица;61/8;31
220;house;Ильменская улица;33/1;16
221;apartments;Ильменская улица;57/8;35
222;yes;Ильменская улица;27;15
223;house;Ильменская улица;47;17
224;house;Ильменская улица;55/1;24
225;house;Ильменская улица;39;35
226;apartments;Ильменская улица;57/5;11
227;residential;Ильменская улица;59/2;16
228;house;Ильменская улица;51;14
229;yes;Ильменская улица;49;16
230;apartments;Ильменская улица;57/6;31
231;house;Ильменская улица;53;37
232;yes;Ильменская улица;19;37
233;residential;Ильменская улица;33;25
234;apartments;Ильменская улица;57/7;27
235;house;Ильменская улица;35;31
236;residential;Ильменская улица;31;17
237;house;Ильменская улица;55/2;24
238;apartments;Ильменская улица;57/3;34
239;house;Ильменская улица;43;23
240;yes;Ильменская улица;53/2;25
241;house;Ильменская улица;64;36
242;house;Ильменская улица;62;37
243;house;Ильменская улица;68;12
244;house;Ильменская улица;92/1;29
245;house;Ильменская улица;10;33
246;house;Ильменская улица;46;17
247;house;Ильменская улица;32;23
248;house;Ильменская улица;90/1;11
249;house;Ильменская улица;8;19
250;house;Ильменская улица;84;13
251;house;Ильменская улица;48;13
252;house;Ильменская улица;82;10
253;house;Ильменская улица;66;28
254;house;Ильменская улица;12;36
255;yes;Ильменская улица;70А;10
256;house;Ильменская улица;20;21
257;house;Ильменская улица;86;24
258;yes;Ильменская улица;34;13
259;house;Ильменская улица;14;10
260;yes;Ильменская улица;38;27
261;house;Ильменская улица;22;35
262;apartments;Ильменская улица;63;9
263;house;Ильменская улица;44946;23
264;house;Ильменская улица;72/1;23
265;house;Ильменская улица;50;34
266;house;Ильменская улица;88;28
267;house;Ильменская улица;16;34
268;yes;Ильменская улица;36;31
269;house;Ильменская улица;24;17
270;house;Ильменская улица;74;16
271;house;Ильменская улица;18;27
272;yes;Ильменская улица;40;34
273;house;Ильменская улица;26;14
274;house;Ильменская улица;76;20
275;house;Ильменская улица;78;28
276;house;Ильменская улица;4;26
277;yes;Ильменская улица;44;36
278;yes;Ильменская улица;58;37
279;yes;Ильменская улица;42;37
280;house;Ильменская улица;80;20
281;house;Ильменская улица;60;9
282;house;Ильменская улица;90;26
283;house;Ильменская улица;54;19
284;house;Ильменская улица;92/6;15
285;house;Ильменская улица;92;22
286;house;Ильменская улица;28;32
287;house;Ильменская улица;6;16
288;house;Ильменская улица;92/4;15
289;house;Ильменская улица;52;14
290;house;Ильменская улица;56;16
291;yes;Ильменская улица;20/1а;29
292;yes;Ильменская улица;23;24
293;house;Ильменская улица;37;18
294;residential;Ильменская улица;63/1;36
295;yes;Ильменская улица;27Б;22
296;residential;Ильменская улица;29;37
297;apartments;Ильменская улица;55/5Б;27
298;apartments;Ильменская улица;57 к4А;16
299;apartments;Ильменская улица;59А;29
300;residential;Ильменская улица;61/1;31
301;yes;Мерзлотная улица;28;32
302;yes;Мерзлотная улица;29;18
303;yes;Мерзлотная улица;31;20
304;yes;Мерзлотная улица;44941;15
305;yes;Мерзлотная улица;14;37
306;yes;Мерзлотная улица;12;36
307;yes;Мерзлотная улица;11;26
308;yes;Мерзлотная улица;15;25
309;yes;Мерзлотная улица;13;24
310;yes;Мерзлотная улица;10;9
311;yes;Мерзлотная улица;16;18
312;yes;Мерзлотная улица;9;12
313;yes;Мерзлотная улица;42;36
314;yes;Мерзлотная улица;33/4;24
315;yes;Мерзлотная улица;41;27
316;yes;Мерзлотная улица;32;17
317;yes;Мерзлотная улица;33/4;15
318;yes;Мерзлотная улица;33/1;28
319;yes;Мерзлотная улица;44933;11
320;yes;Мерзлотная улица;8/2А;15
321;yes;Мерзлотная улица;17;32
322;yes;Мерзлотная улица;44979;10
323;yes;Мерзлотная улица;8;36
324;yes;Мерзлотная улица;36;21
325;yes;Мерзлотная улица;7;23
326;yes;Мерзлотная улица;19;34
327;yes;Мерзлотная улица;39;37
328;yes;Мерзлотная улица;35/1;20
329;yes;Мерзлотная улица;5нс;26
330;yes;Мерзлотная улица;44953;17
331;yes;Мерзлотная улица;30;26
332;yes;Мерзлотная улица;24;32
333;yes;Мерзлотная улица;27;13
334;yes;Мерзлотная улица;28А;24
335;yes;Мерзлотная улица;22;34
336;yes;Мерзлотная улица;40;34
337;yes;Мерзлотная улица;44948;28
338;yes;Мерзлотная улица;5;27
339;yes;Мерзлотная улица;44946;24
340;yes;Мерзлотная улица;25;18
341;yes;Мерзлотная улица;18;34
342;yes;Мерзлотная улица;8А;37
343;yes;Мерзлотная улица;44965;15
344;yes;Мерзлотная улица;35;17
345;yes;Мерзлотная улица;6;21
346;yes;Мерзлотная улица;18Д;11
347;yes;Мерзлотная улица;26;28
348;yes;Мерзлотная улица;28/2В;17
349;yes;Мерзлотная улица;21;27
350;yes;Мерзлотная улица;23;16
351;yes;Мерзлотная улица;38;35
352;yes;Мерзлотная улица;44977;21
353;yes;Мерзлотная улица;44984;20
354;yes;Мерзлотная улица;35/1а;15
355;yes;Ново-Карьерная улица;8;13
356;yes;Ново-Карьерная улица;6;27
357;yes;Ново-Карьерная улица;10;32
358;yes;Ново-Карьерная улица;44930;33
359;yes;Ново-Карьерная улица;2;36
360;yes;Ново-Карьерная улица;44928;14
361;yes;Ново-Карьерная улица;4;10
362;residential;Ново-Карьерная улица;23;13
363;apartments;Ново-Карьерная улица;31;29
364;house;Ново-Карьерная улица;45068;18
365;residential;Ново-Карьерная улица;25;21
366;house;Ново-Карьерная улица;11;36
367;yes;Ново-Карьерная улица;16;21
368;house;Ново-Карьерная улица;45099;21
369;house;Ново-Карьерная улица;3;11
370;apartments;Ново-Карьерная улица;44977;28
371;yes;Ново-Карьерная улица;18;17
372;house;Ново-Карьерная улица;13;31
373;house;Ново-Карьерная улица;9;15
374;apartments;Ново-Карьерная улица;45005;23
375;apartments;Ново-Карьерная улица;44946;35
376;house;Ново-Карьерная улица;45160;25
377;house;Ново-Карьерная улица;45038;19
378;house;Ново-Карьерная улица;5;30
379;residential;Ново-Карьерная улица;21;26
380;residential;Ново-Карьерная улица;44955;12
381;apartments;Ново-Карьерная улица;45036;15
382;residential;Ново-Карьерная улица;17;22
383;yes;Ново-Карьерная улица;12;20
384;house;Ново-Карьерная улица;44933;30
385;apartments;Ново-Карьерная улица;44979;16
386;residential;Ново-Карьерная улица;27;10
387;house;Ново-Карьерная улица;7;9
388;house;Ново-Карьерная улица;1;9
389;residential;Ново-Карьерная улица;29;21
390;house;Ново-Карьерная улица;37;28
391;house;Ново-Карьерная улица;35;26
392;house;Ново-Карьерная улица;33;12
393;house;Ново-Карьерная улица;45014;30
394;house;Ново-Карьерная улица;29/2;36
395;house;Ново-Карьерная улица;45045;28
396;yes;Ново-Карьерная улица;27/2а;13
397;house;Ново-Карьерная улица;45129;17
398;yes;Ново-Карьерная улица;16 к2;18
399;house;Ново-Карьерная улица;45191;25
400;yes;Ново-Сайсарская улица;44989;22
401;yes;Ново-Сайсарская улица;45203;30
402;house;Парковая улица;27;13
403;house;Парковая улица;9;23
404;yes;Парковая улица;14;10
405;yes;Парковая улица;36;22
406;yes;Парковая улица;18;19
407;yes;Парковая улица;38;19
408;house;Парковая улица;28;35
409;yes;Парковая улица;33;22
410;house;Парковая улица;32;9
411;yes;Парковая улица;4;16
412;yes;Парковая улица;16;29
413;house;Парковая улица;26;25
414;yes;Парковая улица;2;16
415;yes;Парковая улица;34;23
416;house;Парковая улица;13;37
417;apartments;Парковая улица;44;23
418;house;Парковая улица;24;9
419;yes;Парковая улица;40;31
420;house;Парковая улица;31;27
421;yes;Парковая улица;6;35
422;house;Парковая улица;20;30
423;yes;Парковая улица;8;28
424;yes;Парковая улица;42;21
425;yes;Парковая улица;37;29
426;house;Парковая улица;19;24
427;apartments;Парковая улица;46;15
428;yes;Парковая улица;10;15
429;yes;Парковая улица;44950;17
430;house;Парковая улица;17;9
431;yes;Парковая улица;39;20
432;house;Парковая улица;22;31
433;house;Парковая улица;23;10
434;house;Парковая улица;1;30
435;house;Парковая улица;15;16
436;yes;Парковая улица;41;36
437;apartments;Парковая улица;50;18
438;house;Парковая улица;5;25
439;apartments;Парковая улица;52;30
440;yes;Парковая улица;43;15
441;house;Парковая улица;3;32
442;house;Парковая улица;29;37
443;apartments;Парковая улица;48;15
444;yes;Парковая улица;12;19
445;house;Парковая улица;7;10
446;apartments;Парковая улица;65;24
447;house;Парковая улица;11;21
448;residential;Радужная улица;69/12;22
449;yes;Сергеляхское шоссе;4;36
450;yes;Сергеляхское шоссе;4;9
451;yes;Сергеляхское шоссе;45170;25
452;yes;Сергеляхское шоссе;45265;17
453;apartments;Сергеляхское шоссе;44932;34
454;yes;Сергеляхское шоссе 10 км;2;34
455;yes;Сергеляхское шоссе 10 км;47;10
456;yes;Сергеляхское шоссе 11км;1;23
457;yes;Сергеляхское шоссе 12 км;42125;23
458;yes;Сергеляхское шоссе 12 км;44927;21
459;yes;Сергеляхское шоссе 12 км;45204;19
460;yes;Сергеляхское шоссе 12 км;45235;12
461;yes;Сергеляхское шоссе 12 км;39816;17
462;residential;Сергеляхское шоссе 12 км;44933;12
463;residential;Сергеляхское шоссе 12 км;16;27
464;residential;Сергеляхское шоссе 12 км;7;17
465;yes;Сергеляхское шоссе 12 км;44940;9
466;yes;Сергеляхское шоссе 12 км;44966;29
467;residential;Сергеляхское шоссе 12 км;38;20
468;yes;Сергеляхское шоссе 12 км;3;36
469;yes;Сергеляхское шоссе 12 км;44940;15
470;yes;Сергеляхское шоссе 12 км;45201;25
471;house;Сергеляхское шоссе 12 км;А1/8;25
472;yes;Сергеляхское шоссе 5 км;14;15
473;yes;Сергеляхское шоссе 5 км;44938;10
474;yes;Сергеляхское шоссе 5 км;20;22
475;yes;Сергеляхское шоссе 5 км;44934;12
476;yes;Сергеляхское шоссе 5 км;44934;22
477;yes;Сергеляхское шоссе 8 км;1;29
478;residential;Советская улица;25;11
479;house;Советская улица;7;27
480;house;Советская улица;5;36
481;yes;Советская улица;2;18
482;yes;Советская улица;16;37
483;yes;Советская улица;3;33
484;yes;Советская улица;44932;9
485;yes;Советская улица;6А;12
486;yes;Советская улица;44963;25
487;yes;Советская улица;4;15
488;yes;Советская улица;12;23
489;yes;Сосновая улица;14;25
490;house;Сосновая улица;49;35
491;house;Сосновая улица;23;20
492;house;Сосновая улица;9;29
493;yes;Сосновая улица;16;20
494;house;Сосновая улица;25;9
495;house;Сосновая улица;26;17
496;house;Сосновая улица;37;31
497;yes;Сосновая улица;10;10
498;house;Сосновая улица;34;26
499;house;Сосновая улица;22;23
500;yes;Сосновая улица;4;15
501;yes;Сосновая улица;18;16
502;house;Сосновая улица;31;37
503;house;Сосновая улица;53;13
504;apartments;Сосновая улица;6;15
505;house;Сосновая улица;29;11
506;house;Сосновая улица;36;37
507;house;Сосновая улица;44;21
508;yes;Сосновая улица;17;10
509;apartments;Сосновая улица;20;31
510;house;Сосновая улица;59/1;19
511;yes;Сосновая улица;19;14
512;house;Сосновая улица;30;29
513;yes;Сосновая улица;44935;20
514;yes;Сосновая улица;13;19
515;house;Сосновая улица;57;30
516;house;Сосновая улица;33;33
517;house;Сосновая улица;28;17
518;house;Сосновая улица;55;31
519;house;Сосновая улица;35;11
520;house;Сосновая улица;32;14
521;house;Сосновая улица;40;28
522;house;Сосновая улица;1;35
523;house;Сосновая улица;63;31
524;house;Сосновая улица;38;20
525;house;Сосновая улица;3;27
526;house;Сосновая улица;44949;29
527;apartments;Сосновая улица;2;17
528;yes;Сосновая улица;21;37
529;house;Сосновая улица;58;36
530;house;Сосновая улица;54;23
531;house;Сосновая улица;65/3;31
532;yes;Сосновая улица;15;14
533;house;Сосновая улица;5;10
534;yes;Сосновая улица;8;18
535;house;Сосновая улица;65/5;15
536;house;Сосновая улица;39;9
537;yes;Сосновая улица;11;26
538;house;Сосновая улица;50;29
539;house;Сосновая улица;46;20
540;house;Сосновая улица;52;18
541;house;Сосновая улица;43;33
542;house;Сосновая улица;7;32
543;house;Сосновая улица;27;11
544;house;Сосновая улица;48;16
545;house;Сосновая улица;65А;29
546;house;Сосновая улица;66/1;28
547;house;Сосновая улица;62;19
548;house;Сосновая улица;75;26
549;house;Сосновая улица;60;32
550;house;Сосновая улица;70;25
551;house;Сосновая улица;77;28
552;house;Сосновая улица;72;16
553;house;Сосновая улица;56/1;28
554;house;Сосновая улица;69;12
555;house;Сосновая улица;58/1;13
556;house;Сосновая улица;64А;10
557;house;Сосновая улица;79/2;20
558;house;Сосновая улица;66;9
559;house;Сосновая улица;79;36
560;house;Сосновая улица;64;27
561;house;Сосновая улица;65;21
562;house;Сосновая улица;41;13
563;house;Сосновая улица;42;14
564;house;Сосновая улица;59;28
565;house;Сосновая улица;24;26
566;house;улица Бекетова;47;28
567;house;улица Бекетова;49;26
568;apartments;улица Бекетова;18;18
569;yes;улица Бекетова;1;28
570;house;улица Бекетова;51;17
571;yes;улица Бекетова;17;35
572;house;улица Бекетова;27;29
573;yes;улица Бекетова;21;10
574;house;улица Бекетова;29;34
575;house;улица Бекетова;55;14
576;yes;улица Бекетова;19;29
577;house;улица Бекетова;53;29
578;yes;улица Бекетова;44937;12
579;house;улица Бекетова;35;36
580;house;улица Бекетова;35/2;25
581;yes;улица Бекетова;23;36
582;yes;улица Бекетова;13;23
583;yes;улица Бекетова;15;29
584;house;улица Бекетова;35/1;34
585;house;улица Бекетова;41;25
586;house;улица Бекетова;31;13
587;house;улица Бекетова;43;19
588;yes;улица Бекетова;25;26
589;house;улица Бекетова;39;12
590;house;улица Бекетова;44982;25
591;house;улица Бекетова;87;31
592;house;улица Бекетова;67;37
593;house;улица Бекетова;74;18
594;house;улица Бекетова;73;30
595;house;улица Бекетова;75;34
596;house;улица Бекетова;77;28
597;house;улица Бекетова;61;13
598;house;улица Бекетова;57;10
599;house;улица Бекетова;59;16
600;house;улица Бекетова;71/1;9
601;house;улица Бекетова;69;34
602;house;улица Бекетова;65А;21
603;house;улица Бекетова;65;32
604;house;улица Бекетова;81;12
605;house;улица Бекетова;79;23
606;yes;улица Бекетова;26;31
607;house;улица Бекетова;44932;24
608;yes;улица Бекетова;6;31
609;yes;улица Бекетова;3;15
610;house;улица Бекетова;44951;18
611;house;улица Бекетова;33;10
612;house;улица Бекетова;83;27
613;house;улица Бекетова;85;20
614;house;улица Бекетова;89;16
615;house;улица Бекетова;37;31
616;yes;улица Билибина;33;16
617;yes;улица Билибина;35;19
618;yes;улица Билибина;26;31
619;yes;улица Билибина;28;26
620;yes;улица Билибина;19 к3;36
621;yes;улица Билибина;1 с1;23
622;residential;улица Билибина;42 к2;32
623;yes;улица Билибина;1 с2;13
624;yes;улица Билибина;33/1;12
625;yes;улица Билибина;39;32
626;residential;улица Билибина;42 к3;23
627;yes;улица Билибина;22;19
628;yes;улица Билибина;19 к2;37
629;apartments;улица Билибина;46 к2;33
630;residential;улица Билибина;12;14
631;yes;улица Билибина;10Б;18
632;yes;улица Билибина;21 к1;14
633;apartments;улица Билибина;44;21
634;residential;улица Билибина;42 к1;20
635;residential;улица Билибина;44938;37
636;residential;улица Билибина;46 к4Г;12
637;yes;улица Билибина;50;15
638;apartments;улица Билибина;48 к2;12
639;yes;улица Билибина;39 к1;18
640;yes;улица Билибина;1А;10
641;yes;улица Билибина;18;30
642;yes;улица Билибина;35 к1;16
643;residential;улица Билибина;36 к2;34
644;yes;улица Билибина;41;19
645;yes;улица Билибина;32;9
646;apartments;улица Билибина;46;33
647;residential;улица Билибина;42 к5;9
648;yes;улица Билибина;41/1;26
649;yes;улица Билибина;2/1 к2;16
650;yes;улица Билибина;31;11
651;yes;улица Билибина;16;20
652;yes;улица Билибина;20;28
653;yes;улица Билибина;34;23
654;yes;улица Билибина;37 к1;17
655;yes;улица Билибина;45;24
656;apartments;улица Билибина;48 к1;17
657;yes;улица Билибина;1 с3;13
658;yes;улица Билибина;31 к1;36
659;yes;улица Билибина;30;22
660;residential;улица Билибина;42 к6;27
661;yes;улица Билибина;43;13
662;apartments;улица Билибина;46 к5;29
663;yes;улица Билибина;43 к1;35
664;yes;улица Билибина;24;20
665;yes;улица Билибина;40 к1;18
666;yes;улица Билибина;29;25
667;yes;улица Билибина;44928;23
668;apartments;улица Билибина;48;17
669;yes;улица Билибина;36;29
670;residential;улица Билибина;42 к7;32
671;yes;улица Билибина;26 к1;16
672;yes;улица Билибина;27;31
673;apartments;улица Билибина;46 к3;18
674;residential;улица Билибина;46 к4;32
675;yes;улица Билибина;45 к1;32
676;yes;улица Билибина;5;32
677;yes;улица Билибина;47;35
678;yes;улица Билибина;19 к1;14
679;yes;улица Билибина;10А;31
680;yes;улица Билибина;47/7;23
681;yes;улица Билибина;19 к4А;33
682;residential;улица Билибина;36 к3;26
683;yes;улица Билибина;6/2а;28
684;yes;улица Билибина;6 к1;9
685;yes;улица Билибина;44936;16
686;yes;улица Билибина;6;26
687;yes;улица Билибина;44951;32
688;yes;улица Билибина;42 к5А;15
689;yes;улица Билибина;4/8а;24
690;yes;улица Билибина;25;9
691;yes;улица Билибина;36 к1;30
692;house;улица Билибина;43466;19
693;yes;улица Билибина;40 к1;11
694;yes;улица Билибина;2;22
695;yes;улица Билибина;6 к2;15
696;yes;улица Билибина;1;32
697;yes;улица Билибина;44927;17
698;yes;улица Билибина;1 к1;33
699;yes;улица Билибина;9А;10
700;yes;улица Билибина;2/1 к 1;27
701;yes;улица Билибина;9нс;10
702;yes;улица Билибина;2/2а;21
703;yes;улица Билибина;47/1;33
704;residential;улица Билибина;13;24
705;yes;улица Билибина;44А;34
706;yes;улица Билибина;44949;22
707;yes;улица Билибина;32А;17
708;yes;улица Билибина;2/1 к2;22
709;yes;улица Билибина;2/1 к1;15
710;yes;улица Билибина;47/7а;15
711;yes;улица Билибина;59;16
712;yes;улица Билибина;23А;13
713;yes;улица Билибина;44953;12
714;apartments;улица Билибина;19;35
715;yes;улица Билибина;45002;21
716;yes;улица Билибина;44974;20
717;yes;улица Билибина;44943;35
718;yes;улица Билибина;45028;33
719;apartments;улица Билибина;45157;29
720;apartments;улица Борисовка 1-й квартал;37;34
721;apartments;улица Борисовка 1-й квартал;52;11
722;apartments;улица Борисовка 1-й квартал;11;11
723;apartments;улица Борисовка 1-й квартал;55;20
724;apartments;улица Борисовка 1-й квартал;32;14
725;apartments;улица Борисовка 1-й квартал;44933;18
726;apartments;улица Борисовка 1-й квартал;8;35
727;apartments;улица Борисовка 1-й квартал;31;16
728;apartments;улица Борисовка 1-й квартал;10;9
729;apartments;улица Борисовка 1-й квартал;39;22
730;apartments;улица Борисовка 1-й квартал;35;13
731;apartments;улица Борисовка 1-й квартал;34;18
732;apartments;улица Борисовка 1-й квартал;50;30
733;apartments;улица Борисовка 1-й квартал;38;9
734;apartments;улица Борисовка 1-й квартал;7;24
735;apartments;улица Борисовка 1-й квартал;42;32
736;apartments;улица Борисовка 1-й квартал;9;27
737;yes;улица Борисовка 1-й квартал;6;27
738;apartments;улица Борисовка 1-й квартал;43;28
739;apartments;улица Борисовка 1-й квартал;2;13
740;yes;улица Борисовка 1-й квартал;4;22
741;apartments;улица Борисовка 1-й квартал;1;37
742;apartments;улица Борисовка 1-й квартал;40;22
743;apartments;улица Борисовка 1-й квартал;47;24
744;apartments;улица Борисовка 1-й квартал;12;17
745;apartments;улица Борисовка 1-й квартал;41;28
