id;"""building""";address;число_жителей
63;yes;2-й Сайсарский переулок 7;0
64;house;2-й Сайсарский переулок 13;28
65;house;3-й Академический переулок 15;29
66;house;3-й Академический переулок 3;0
67;house;3-й Академический переулок 19;19
68;house;3-й Академический переулок 2;13
69;house;3-й Академический переулок 20;0
70;house;3-й Академический переулок 5;5
71;house;3-й Академический переулок 10;25
72;house;3-й Академический переулок 17;9
73;house;3-й Академический переулок 14;21
74;house;3-й Академический переулок 8;20
75;house;3-й Академический переулок 16;21
76;house;3-й Академический переулок 6;5
77;house;3-й Академический переулок 7;19
78;house;3-й Академический переулок 13;1
79;house;3-й Академический переулок 4;13
80;house;3-й Академический переулок 9;8
81;house;3-й Академический переулок 12;22
82;house;3-й Академический переулок 11;18
83;house;3-й Академический переулок 18;14
84;house;3-й Академический переулок 1;0
85;yes;Вилюйский тракт к2;17
86;yes;Вилюйский тракт 3 к3;30
87;yes;Вилюйский тракт 3/4 с1;18
88;yes;Вилюйский тракт 3 к1;4
89;yes;Вилюйский тракт 3/4 с3;22
90;yes;Вилюйский тракт 45019;19
91;yes;Вилюйский тракт 3/4 с2;10
92;yes;Вилюйский тракт 44960;24
93;yes;Вилюйский тракт 44927;30
94;yes;Вилюйский тракт к5;14
95;house;Вилюйский тракт 44939;28
96;house;Вилюйский тракт 44974;24
97;house;Вилюйский тракт 44943;27
98;house;Вилюйский тракт 44972;25
99;house;Вилюйский тракт 13;17
100;house;Вилюйский тракт 44945;18
101;yes;Вилюйский тракт 44929;4
102;house;Вилюйский тракт 44970;23
103;house;Вилюйский тракт 7;17
104;house;Вилюйский тракт 44933;14
105;yes;Вилюйский тракт 3/14а;15
106;yes;Вилюйский тракт 14;4
107;yes;Вилюйский тракт 13;26
108;yes;Вилюйский тракт 12;16
109;yes;Вилюйский тракт 11;22
110;yes;Вилюйский тракт 10А;8
111;yes;Вилюйский тракт 3;13
112;yes;Вилюйский тракт 1;7
113;yes;Вилюйский тракт 2;22
114;yes;Вилюйский тракт 24А;16
115;yes;Вилюйский тракт 25;24
116;yes;Вилюйский тракт 26;4
117;yes;Вилюйский тракт 15;3
118;yes;Вилюйский тракт 16;19
119;yes;Вилюйский тракт 19;19
120;yes;Вилюйский тракт 20А;9
121;yes;Вилюйский тракт 3/22а;28
122;yes;Вилюйский тракт 44986;29
123;yes;Вилюйский тракт 45717;30
124;yes;Вилюйский тракт 30;30
125;yes;Вилюйский тракт 6;30
126;house;Вилюйский тракт 3 км 17;29
127;yes;Вилюйский тракт 3 км 1;17
128;house;Вилюйский тракт 3 км 33;2
129;house;Вилюйский тракт 3 км 37;1
130;house;Вилюйский тракт 3 км 35;2
131;house;Вилюйский тракт 3 км 39/1;2
132;house;Вилюйский тракт 3 км 23;7
133;house;Вилюйский тракт 3 км 39;0
134;house;Вилюйский тракт 3 км 21;10
135;house;Вилюйский тракт 3 км 25;20
136;house;Вилюйский тракт 3 км 44951;7
137;house;Вилюйский тракт 3 км 29;23
138;house;Вилюйский тракт 3 км 27;0
139;house;Вилюйский тракт 3 км 44949;18
140;house;Вилюйский тракт 3 км 31;25
141;house;Вилюйский тракт 3 км 44953;4
142;yes;Вилюйский тракт 3 км 45078;13
143;yes;Вилюйский тракт 3 км 44927;12
144;yes;Вилюйский тракт 3 км 44958;14
145;house;Вилюйский тракт 3 км 49;4
146;yes;Вилюйский тракт 3 км 45078;5
147;yes;Вилюйский тракт 5 км 5;9
148;yes;Вилюйский тракт 5 км 3;7
149;yes;Вилюйский тракт 5 км к4;14
150;yes;Вилюйский тракт 5 км 1А;29
151;house;Вилюйский тракт 7км 43/3;12
152;house;Вилюйский тракт 7км 48/1;19
153;residential;Гимеинская улица 2;5
154;yes;Гимеинская улица 7;1
155;residential;Гимеинская улица 9;0
156;yes;Гимеинская улица 44935;27
157;residential;Гимеинская улица 21Б;15
158;residential;Гимеинская улица 30;2
159;residential;Гимеинская улица 15;15
160;residential;Гимеинская улица 19;0
161;residential;Гимеинская улица 13;26
162;yes;Гимеинская улица 45040;16
163;residential;Гимеинская улица 11;21
164;residential;Гимеинская улица 20;2
165;residential;Гимеинская улица 12;5
166;residential;Гимеинская улица 22;23
167;residential;Гимеинская улица 16;5
168;residential;Гимеинская улица 10;14
169;residential;Гимеинская улица 14;28
170;residential;Гимеинская улица 44942;13
171;residential;Гимеинская улица 6;5
172;residential;Гимеинская улица 8;3
173;residential;Гимеинская улица 29;29
174;residential;Гимеинская улица 21А;28
175;dormitory;Гимеинская улица 21;11
176;residential;Гимеинская улица 25;24
177;house;Гимеинская улица 32/9;12
178;residential;Гимеинская улица 18;2
179;residential;Гимеинская улица 23;10
180;dormitory;Гимеинская улица 24;15
181;residential;Гимеинская улица 31;13
182;residential;Гимеинская улица 17;23
183;house;Гимеинская улица 31/1Б;17
184;house;Гимеинская улица 31Б;22
185;house;Гимеинская улица 31/2;15
186;house;Гимеинская улица 31/14;22
187;house;Гимеинская улица 45016;6
188;house;Гимеинская улица 31/4;30
189;house;Гимеинская улица 45077;0
190;house;Гимеинская улица 31/6;28
191;house;Гимеинская улица 45138;30
192;house;Гимеинская улица 45165;7
193;house;Гимеинская улица 45230;3
194;residential;Ильменская улица 63;10
195;residential;Ильменская улица 59/4;20
196;residential;Ильменская улица 63/2;19
197;residential;Ильменская улица ;2
198;residential;Ильменская улица 59;25
199;residential;Ильменская улица 57/9;9
200;house;Ильменская улица 61/1А;4
201;apartments;Ильменская улица 61/1Б;16
202;residential;Ильменская улица 57;13
203;house;Ильменская улица 9;12
204;house;Ильменская улица 11;22
205;house;Ильменская улица 1;0
206;house;Ильменская улица 13;26
207;yes;Ильменская улица 3;29
208;yes;Ильменская улица 7;27
209;house;Ильменская улица 15;15
210;house;Ильменская улица 5;8
211;house;Ильменская улица 17;3
212;yes;Ильменская улица 53/2;19
213;apartments;Ильменская улица 57/4;2
214;house;Ильменская улица 45;21
215;yes;Ильменская улица 25;19
216;yes;Ильменская улица 55/4;24
217;apartments;Ильменская улица 57/2;4
218;residential;Ильменская улица 55/4;7
219;residential;Ильменская улица 61/8;0
220;house;Ильменская улица 33/1;17
221;apartments;Ильменская улица 57/8;20
222;yes;Ильменская улица 27;0
223;house;Ильменская улица 47;11
224;house;Ильменская улица 55/1;8
225;house;Ильменская улица 39;9
226;apartments;Ильменская улица 57/5;18
227;residential;Ильменская улица 59/2;2
228;house;Ильменская улица 51;15
229;yes;Ильменская улица 49;3
230;apartments;Ильменская улица 57/6;20
231;house;Ильменская улица 53;4
232;yes;Ильменская улица 19;17
233;residential;Ильменская улица 33;11
234;apartments;Ильменская улица 57/7;10
235;house;Ильменская улица 35;4
236;residential;Ильменская улица 31;21
237;house;Ильменская улица 55/2;30
238;apartments;Ильменская улица 57/3;9
239;house;Ильменская улица 43;19
240;yes;Ильменская улица 53/2;8
241;house;Ильменская улица 64;6
242;house;Ильменская улица 62;14
243;house;Ильменская улица 68;26
244;house;Ильменская улица 92/1;6
245;house;Ильменская улица 10;26
246;house;Ильменская улица 46;27
247;house;Ильменская улица 32;13
248;house;Ильменская улица 90/1;23
249;house;Ильменская улица 8;13
250;house;Ильменская улица 84;25
251;house;Ильменская улица 48;19
252;house;Ильменская улица 82;29
253;house;Ильменская улица 66;17
254;house;Ильменская улица 12;0
255;yes;Ильменская улица 70А;0
256;house;Ильменская улица 20;24
257;house;Ильменская улица 86;24
258;yes;Ильменская улица 34;16
259;house;Ильменская улица 14;28
260;yes;Ильменская улица 38;13
261;house;Ильменская улица 22;3
262;apartments;Ильменская улица 63;20
263;house;Ильменская улица 44946;28
264;house;Ильменская улица 72/1;22
265;house;Ильменская улица 50;30
266;house;Ильменская улица 88;25
267;house;Ильменская улица 16;26
268;yes;Ильменская улица 36;20
269;house;Ильменская улица 24;26
270;house;Ильменская улица 74;25
271;house;Ильменская улица 18;29
272;yes;Ильменская улица 40;25
273;house;Ильменская улица 26;2
274;house;Ильменская улица 76;21
275;house;Ильменская улица 78;13
276;house;Ильменская улица 4;20
277;yes;Ильменская улица 44;25
278;yes;Ильменская улица 58;10
279;yes;Ильменская улица 42;6
280;house;Ильменская улица 80;10
281;house;Ильменская улица 60;17
282;house;Ильменская улица 90;4
283;house;Ильменская улица 54;9
284;house;Ильменская улица 92/6;14
285;house;Ильменская улица 92;6
286;house;Ильменская улица 28;28
287;house;Ильменская улица 6;24
288;house;Ильменская улица 92/4;16
289;house;Ильменская улица 52;16
290;house;Ильменская улица 56;13
291;yes;Ильменская улица 20/1а;9
292;yes;Ильменская улица 23;25
293;house;Ильменская улица 37;28
294;residential;Ильменская улица 63/1;15
295;yes;Ильменская улица 27Б;17
296;residential;Ильменская улица 29;11
297;apartments;Ильменская улица 55/5Б;19
298;apartments;Ильменская улица 57 к4А;19
299;apartments;Ильменская улица 59А;24
300;residential;Ильменская улица 61/1;24
301;yes;Мерзлотная улица 28;4
302;yes;Мерзлотная улица 29;6
303;yes;Мерзлотная улица 31;9
304;yes;Мерзлотная улица 44941;30
305;yes;Мерзлотная улица 14;29
306;yes;Мерзлотная улица 12;30
307;yes;Мерзлотная улица 11;0
308;yes;Мерзлотная улица 15;11
309;yes;Мерзлотная улица 13;16
310;yes;Мерзлотная улица 10;0
311;yes;Мерзлотная улица 16;24
312;yes;Мерзлотная улица 9;16
313;yes;Мерзлотная улица 42;5
314;yes;Мерзлотная улица 33/4;8
315;yes;Мерзлотная улица 41;18
316;yes;Мерзлотная улица 32;0
317;yes;Мерзлотная улица 33/4;15
318;yes;Мерзлотная улица 33/1;14
319;yes;Мерзлотная улица 44933;23
320;yes;Мерзлотная улица 8/2А;17
321;yes;Мерзлотная улица 17;7
322;yes;Мерзлотная улица 44979;17
323;yes;Мерзлотная улица 8;12
324;yes;Мерзлотная улица 36;30
325;yes;Мерзлотная улица 7;7
326;yes;Мерзлотная улица 19;5
327;yes;Мерзлотная улица 39;1
328;yes;Мерзлотная улица 35/1;2
329;yes;Мерзлотная улица 5нс;10
330;yes;Мерзлотная улица 44953;26
331;yes;Мерзлотная улица 30;3
332;yes;Мерзлотная улица 24;27
333;yes;Мерзлотная улица 27;28
334;yes;Мерзлотная улица 28А;30
335;yes;Мерзлотная улица 22;8
336;yes;Мерзлотная улица 40;15
337;yes;Мерзлотная улица 44948;7
338;yes;Мерзлотная улица 5;20
339;yes;Мерзлотная улица 44946;12
340;yes;Мерзлотная улица 25;11
341;yes;Мерзлотная улица 18;15
342;yes;Мерзлотная улица 8А;18
343;yes;Мерзлотная улица 44965;19
344;yes;Мерзлотная улица 35;25
345;yes;Мерзлотная улица 6;18
346;yes;Мерзлотная улица 18Д;7
347;yes;Мерзлотная улица 26;27
348;yes;Мерзлотная улица 28/2В;11
349;yes;Мерзлотная улица 21;20
350;yes;Мерзлотная улица 23;19
351;yes;Мерзлотная улица 38;15
352;yes;Мерзлотная улица 44977;14
353;yes;Мерзлотная улица 44984;14
354;yes;Мерзлотная улица 35/1а;8
355;yes;Ново-Карьерная улица 8;6
356;yes;Ново-Карьерная улица 6;1
357;yes;Ново-Карьерная улица 10;1
358;yes;Ново-Карьерная улица 44930;17
359;yes;Ново-Карьерная улица 2;13
360;yes;Ново-Карьерная улица 44928;9
361;yes;Ново-Карьерная улица 4;25
362;residential;Ново-Карьерная улица 23;29
363;apartments;Ново-Карьерная улица 31;25
364;house;Ново-Карьерная улица 45068;8
365;residential;Ново-Карьерная улица 25;26
366;house;Ново-Карьерная улица 11;19
367;yes;Ново-Карьерная улица 16;6
368;house;Ново-Карьерная улица 45099;25
369;house;Ново-Карьерная улица 3;19
370;apartments;Ново-Карьерная улица 44977;20
371;yes;Ново-Карьерная улица 18;27
372;house;Ново-Карьерная улица 13;14
373;house;Ново-Карьерная улица 9;21
374;apartments;Ново-Карьерная улица 45005;14
375;apartments;Ново-Карьерная улица 44946;24
376;house;Ново-Карьерная улица 45160;5
377;house;Ново-Карьерная улица 45038;9
378;house;Ново-Карьерная улица 5;27
379;residential;Ново-Карьерная улица 21;26
380;residential;Ново-Карьерная улица 44955;23
381;apartments;Ново-Карьерная улица 45036;29
382;residential;Ново-Карьерная улица 17;14
383;yes;Ново-Карьерная улица 12;9
384;house;Ново-Карьерная улица 44933;6
385;apartments;Ново-Карьерная улица 44979;20
386;residential;Ново-Карьерная улица 27;27
387;house;Ново-Карьерная улица 7;22
388;house;Ново-Карьерная улица 1;26
389;residential;Ново-Карьерная улица 29;20
390;house;Ново-Карьерная улица 37;26
391;house;Ново-Карьерная улица 35;29
392;house;Ново-Карьерная улица 33;13
393;house;Ново-Карьерная улица 45014;30
394;house;Ново-Карьерная улица 29/2;4
395;house;Ново-Карьерная улица 45045;28
396;yes;Ново-Карьерная улица 27/2а;7
397;house;Ново-Карьерная улица 45129;24
398;yes;Ново-Карьерная улица 16 к2;27
399;house;Ново-Карьерная улица 45191;14
400;yes;Ново-Сайсарская улица 44989;30
401;yes;Ново-Сайсарская улица 45203;4
402;house;Парковая улица 27;21
403;house;Парковая улица 9;10
404;yes;Парковая улица 14;1
405;yes;Парковая улица 36;25
406;yes;Парковая улица 18;21
407;yes;Парковая улица 38;4
408;house;Парковая улица 28;14
409;yes;Парковая улица 33;28
410;house;Парковая улица 32;21
411;yes;Парковая улица 4;5
412;yes;Парковая улица 16;25
413;house;Парковая улица 26;16
414;yes;Парковая улица 2;29
415;yes;Парковая улица 34;7
416;house;Парковая улица 13;17
417;apartments;Парковая улица 44;5
418;house;Парковая улица 24;14
419;yes;Парковая улица 40;25
420;house;Парковая улица 31;9
421;yes;Парковая улица 6;2
422;house;Парковая улица 20;1
423;yes;Парковая улица 8;13
424;yes;Парковая улица 42;1
425;yes;Парковая улица 37;4
426;house;Парковая улица 19;13
427;apartments;Парковая улица 46;17
428;yes;Парковая улица 10;25
429;yes;Парковая улица 44950;28
430;house;Парковая улица 17;14
431;yes;Парковая улица 39;8
432;house;Парковая улица 22;5
433;house;Парковая улица 23;23
434;house;Парковая улица 1;12
435;house;Парковая улица 15;15
436;yes;Парковая улица 41;28
437;apartments;Парковая улица 50;28
438;house;Парковая улица 5;6
439;apartments;Парковая улица 52;20
440;yes;Парковая улица 43;2
441;house;Парковая улица 3;22
442;house;Парковая улица 29;2
443;apartments;Парковая улица 48;17
444;yes;Парковая улица 12;11
445;house;Парковая улица 7;20
446;apartments;Парковая улица 65;28
447;house;Парковая улица 11;18
448;residential;Радужная улица 69/12;28
449;yes;Сергеляхское шоссе 4;11
450;yes;Сергеляхское шоссе 4;24
451;yes;Сергеляхское шоссе 45170;6
452;yes;Сергеляхское шоссе 45265;27
453;apartments;Сергеляхское шоссе 44932;26
454;yes;Сергеляхское шоссе 10 км 2;18
455;yes;Сергеляхское шоссе 10 км 47;4
456;yes;Сергеляхское шоссе 11км 1;12
457;yes;Сергеляхское шоссе 12 км 42125;9
458;yes;Сергеляхское шоссе 12 км 44927;26
459;yes;Сергеляхское шоссе 12 км 45204;8
460;yes;Сергеляхское шоссе 12 км 45235;29
461;yes;Сергеляхское шоссе 12 км 39816;29
462;residential;Сергеляхское шоссе 12 км 44933;16
463;residential;Сергеляхское шоссе 12 км 16;12
464;residential;Сергеляхское шоссе 12 км 7;18
465;yes;Сергеляхское шоссе 12 км 44940;22
466;yes;Сергеляхское шоссе 12 км 44966;21
467;residential;Сергеляхское шоссе 12 км 38;2
468;yes;Сергеляхское шоссе 12 км 3;27
469;yes;Сергеляхское шоссе 12 км 44940;14
470;yes;Сергеляхское шоссе 12 км 45201;11
471;house;Сергеляхское шоссе 12 км А1/8;17
472;yes;Сергеляхское шоссе 5 км 14;6
473;yes;Сергеляхское шоссе 5 км 44938;6
474;yes;Сергеляхское шоссе 5 км 20;18
475;yes;Сергеляхское шоссе 5 км 44934;28
476;yes;Сергеляхское шоссе 5 км 44934;26
477;yes;Сергеляхское шоссе 8 км 1;18
478;residential;Советская улица 25;12
479;house;Советская улица 7;18
480;house;Советская улица 5;14
481;yes;Советская улица 2;19
482;yes;Советская улица 16;13
483;yes;Советская улица 3;26
484;yes;Советская улица 44932;6
485;yes;Советская улица 6А;16
486;yes;Советская улица 44963;17
487;yes;Советская улица 4;14
488;yes;Советская улица 12;16
489;yes;Сосновая улица 14;2
490;house;Сосновая улица 49;19
491;house;Сосновая улица 23;26
492;house;Сосновая улица 9;6
493;yes;Сосновая улица 16;21
494;house;Сосновая улица 25;1
495;house;Сосновая улица 26;6
496;house;Сосновая улица 37;11
497;yes;Сосновая улица 10;25
498;house;Сосновая улица 34;25
499;house;Сосновая улица 22;20
500;yes;Сосновая улица 4;9
501;yes;Сосновая улица 18;28
502;house;Сосновая улица 31;28
503;house;Сосновая улица 53;7
504;apartments;Сосновая улица 6;22
505;house;Сосновая улица 29;30
506;house;Сосновая улица 36;17
507;house;Сосновая улица 44;14
508;yes;Сосновая улица 17;9
509;apartments;Сосновая улица 20;20
510;house;Сосновая улица 59/1;20
511;yes;Сосновая улица 19;23
512;house;Сосновая улица 30;24
513;yes;Сосновая улица 44935;22
514;yes;Сосновая улица 13;20
515;house;Сосновая улица 57;25
516;house;Сосновая улица 33;13
517;house;Сосновая улица 28;30
518;house;Сосновая улица 55;10
519;house;Сосновая улица 35;9
520;house;Сосновая улица 32;16
521;house;Сосновая улица 40;27
522;house;Сосновая улица 1;28
523;house;Сосновая улица 63;20
524;house;Сосновая улица 38;16
525;house;Сосновая улица 3;9
526;house;Сосновая улица 44949;12
527;apartments;Сосновая улица 2;2
528;yes;Сосновая улица 21;3
529;house;Сосновая улица 58;29
530;house;Сосновая улица 54;13
531;house;Сосновая улица 65/3;23
532;yes;Сосновая улица 15;24
533;house;Сосновая улица 5;24
534;yes;Сосновая улица 8;30
535;house;Сосновая улица 65/5;21
536;house;Сосновая улица 39;10
537;yes;Сосновая улица 11;4
538;house;Сосновая улица 50;9
539;house;Сосновая улица 46;13
540;house;Сосновая улица 52;5
541;house;Сосновая улица 43;13
542;house;Сосновая улица 7;14
543;house;Сосновая улица 27;4
544;house;Сосновая улица 48;16
545;house;Сосновая улица 65А;12
546;house;Сосновая улица 66/1;22
547;house;Сосновая улица 62;13
548;house;Сосновая улица 75;14
549;house;Сосновая улица 60;4
550;house;Сосновая улица 70;18
551;house;Сосновая улица 77;2
552;house;Сосновая улица 72;7
553;house;Сосновая улица 56/1;5
554;house;Сосновая улица 69;17
555;house;Сосновая улица 58/1;6
556;house;Сосновая улица 64А;25
557;house;Сосновая улица 79/2;17
558;house;Сосновая улица 66;13
559;house;Сосновая улица 79;20
560;house;Сосновая улица 64;21
561;house;Сосновая улица 65;16
562;house;Сосновая улица 41;29
563;house;Сосновая улица 42;17
564;house;Сосновая улица 59;16
565;house;Сосновая улица 24;16
566;house;улица Бекетова 47;30
567;house;улица Бекетова 49;5
568;apartments;улица Бекетова 18;14
569;yes;улица Бекетова 1;24
570;house;улица Бекетова 51;19
571;yes;улица Бекетова 17;6
572;house;улица Бекетова 27;4
573;yes;улица Бекетова 21;2
574;house;улица Бекетова 29;30
575;house;улица Бекетова 55;18
576;yes;улица Бекетова 19;24
577;house;улица Бекетова 53;17
578;yes;улица Бекетова 44937;11
579;house;улица Бекетова 35;20
580;house;улица Бекетова 35/2;13
581;yes;улица Бекетова 23;19
582;yes;улица Бекетова 13;5
583;yes;улица Бекетова 15;6
584;house;улица Бекетова 35/1;1
585;house;улица Бекетова 41;23
586;house;улица Бекетова 31;0
587;house;улица Бекетова 43;17
588;yes;улица Бекетова 25;30
589;house;улица Бекетова 39;11
590;house;улица Бекетова 44982;26
591;house;улица Бекетова 87;26
592;house;улица Бекетова 67;2
593;house;улица Бекетова 74;26
594;house;улица Бекетова 73;26
595;house;улица Бекетова 75;12
596;house;улица Бекетова 77;9
597;house;улица Бекетова 61;10
598;house;улица Бекетова 57;8
599;house;улица Бекетова 59;18
600;house;улица Бекетова 71/1;18
601;house;улица Бекетова 69;21
602;house;улица Бекетова 65А;22
603;house;улица Бекетова 65;6
604;house;улица Бекетова 81;8
605;house;улица Бекетова 79;27
606;yes;улица Бекетова 26;19
607;house;улица Бекетова 44932;7
608;yes;улица Бекетова 6;10
609;yes;улица Бекетова 3;3
610;house;улица Бекетова 44951;17
611;house;улица Бекетова 33;12
612;house;улица Бекетова 83;7
613;house;улица Бекетова 85;15
614;house;улица Бекетова 89;0
615;house;улица Бекетова 37;29
616;yes;улица Билибина 33;30
617;yes;улица Билибина 35;8
618;yes;улица Билибина 26;11
619;yes;улица Билибина 28;10
620;yes;улица Билибина 19 к3;24
621;yes;улица Билибина 1 с1;7
622;residential;улица Билибина 42 к2;3
623;yes;улица Билибина 1 с2;7
624;yes;улица Билибина 33/1;20
625;yes;улица Билибина 39;16
626;residential;улица Билибина 42 к3;12
627;yes;улица Билибина 22;0
628;yes;улица Билибина 19 к2;18
629;apartments;улица Билибина 46 к2;25
630;residential;улица Билибина 12;28
631;yes;улица Билибина 10Б;10
632;yes;улица Билибина 21 к1;12
633;apartments;улица Билибина 44;24
634;residential;улица Билибина 42 к1;20
635;residential;улица Билибина 44938;26
636;residential;улица Билибина 46 к4Г;29
637;yes;улица Билибина 50;24
638;apartments;улица Билибина 48 к2;5
639;yes;улица Билибина 39 к1;3
640;yes;улица Билибина 1А;27
641;yes;улица Билибина 18;15
642;yes;улица Билибина 35 к1;20
643;residential;улица Билибина 36 к2;28
644;yes;улица Билибина 41;7
645;yes;улица Билибина 32;20
646;apartments;улица Билибина 46;29
647;residential;улица Билибина 42 к5;19
648;yes;улица Билибина 41/1;29
649;yes;улица Билибина 2/1 к2;16
650;yes;улица Билибина 31;14
651;yes;улица Билибина 16;23
652;yes;улица Билибина 20;2
653;yes;улица Билибина 34;20
654;yes;улица Билибина 37 к1;2
655;yes;улица Билибина 45;0
656;apartments;улица Билибина 48 к1;2
657;yes;улица Билибина 1 с3;12
658;yes;улица Билибина 31 к1;24
659;yes;улица Билибина 30;25
660;residential;улица Билибина 42 к6;19
661;yes;улица Билибина 43;24
662;apartments;улица Билибина 46 к5;22
663;yes;улица Билибина 43 к1;15
664;yes;улица Билибина 24;21
665;yes;улица Билибина 40 к1;28
666;yes;улица Билибина 29;15
667;yes;улица Билибина 44928;24
668;apartments;улица Билибина 48;13
669;yes;улица Билибина 36;1
670;residential;улица Билибина 42 к7;0
671;yes;улица Билибина 26 к1;27
672;yes;улица Билибина 27;28
673;apartments;улица Билибина 46 к3;28
674;residential;улица Билибина 46 к4;4
675;yes;улица Билибина 45 к1;14
676;yes;улица Билибина 5;16
677;yes;улица Билибина 47;2
678;yes;улица Билибина 19 к1;12
679;yes;улица Билибина 10А;29
680;yes;улица Билибина 47/7;14
681;yes;улица Билибина 19 к4А;2
682;residential;улица Билибина 36 к3;7
683;yes;улица Билибина 6/2а;4
684;yes;улица Билибина 6 к1;23
685;yes;улица Билибина 44936;2
686;yes;улица Билибина 6;2
687;yes;улица Билибина 44951;17
688;yes;улица Билибина 42 к5А;10
689;yes;улица Билибина 4/8а;4
690;yes;улица Билибина 25;0
691;yes;улица Билибина 36 к1;3
692;house;улица Билибина 43466;28
693;yes;улица Билибина 40 к1;11
694;yes;улица Билибина 2;19
695;yes;улица Билибина 6 к2;28
696;yes;улица Билибина 1;3
697;yes;улица Билибина 44927;18
698;yes;улица Билибина 1 к1;4
699;yes;улица Билибина 9А;17
700;yes;улица Билибина 2/1 к 1;29
701;yes;улица Билибина 9нс;16
702;yes;улица Билибина 2/2а;22
703;yes;улица Билибина 47/1;12
704;residential;улица Билибина 13;13
705;yes;улица Билибина 44А;20
706;yes;улица Билибина 44949;15
707;yes;улица Билибина 32А;23
708;yes;улица Билибина 2/1 к2;7
709;yes;улица Билибина 2/1 к1;18
710;yes;улица Билибина 47/7а;26
711;yes;улица Билибина 59;16
712;yes;улица Билибина 23А;4
713;yes;улица Билибина 44953;10
714;apartments;улица Билибина 19;23
715;yes;улица Билибина 45002;6
716;yes;улица Билибина 44974;10
717;yes;улица Билибина 44943;9
718;yes;улица Билибина 45028;14
719;apartments;улица Билибина 45157;26
720;apartments;улица Борисовка 1-й квартал 37;19
721;apartments;улица Борисовка 1-й квартал 52;29
722;apartments;улица Борисовка 1-й квартал 11;13
723;apartments;улица Борисовка 1-й квартал 55;20
724;apartments;улица Борисовка 1-й квартал 32;5
725;apartments;улица Борисовка 1-й квартал 44933;18
726;apartments;улица Борисовка 1-й квартал 8;29
727;apartments;улица Борисовка 1-й квартал 31;11
728;apartments;улица Борисовка 1-й квартал 10;0
729;apartments;улица Борисовка 1-й квартал 39;19
730;apartments;улица Борисовка 1-й квартал 35;4
731;apartments;улица Борисовка 1-й квартал 34;16
732;apartments;улица Борисовка 1-й квартал 50;13
733;apartments;улица Борисовка 1-й квартал 38;29
734;apartments;улица Борисовка 1-й квартал 7;14
735;apartments;улица Борисовка 1-й квартал 42;6
736;apartments;улица Борисовка 1-й квартал 9;3
737;yes;улица Борисовка 1-й квартал 6;23
738;apartments;улица Борисовка 1-й квартал 43;9
739;apartments;улица Борисовка 1-й квартал 2;29
740;yes;улица Борисовка 1-й квартал 4;20
741;apartments;улица Борисовка 1-й квартал 1;18
742;apartments;улица Борисовка 1-й квартал 40;0
743;apartments;улица Борисовка 1-й квартал 47;22
744;apartments;улица Борисовка 1-й квартал 12;2
745;apartments;улица Борисовка 1-й квартал 41;30
746;apartments;улица Борисовка 1-й квартал 15;6
