id;"""building""";"""addr_stree""";"""addr_hou_1""";официальное_число_жителей;фактическое_число_жителей;выгода
118;yes;Вилюйский тракт;16;19;27;8000
119;yes;Вилюйский тракт;19;19;19;0
120;yes;Вилюйский тракт;20А;9;36;27000
121;yes;Вилюйский тракт;3/22а;28;30;2000
122;yes;Вилюйский тракт;44986;29;16;-13000
123;yes;Вилюйский тракт;45717;30;30;0
124;yes;Вилюйский тракт;30;30;37;7000
125;yes;Вилюйский тракт;6;30;17;-13000
126;house;Вилюйский тракт 3 км;17;29;14;-15000
127;yes;Вилюйский тракт 3 км;1;17;14;-3000
128;house;Вилюйский тракт 3 км;33;2;11;9000
129;house;Вилюйский тракт 3 км;37;1;17;16000
130;house;Вилюйский тракт 3 км;35;2;10;8000
131;house;Вилюйский тракт 3 км;39/1;2;23;21000
132;house;Вилюйский тракт 3 км;23;7;21;14000
133;house;Вилюйский тракт 3 км;39;0;19;19000
134;house;Вилюйский тракт 3 км;21;10;26;16000
135;house;Вилюйский тракт 3 км;25;20;17;-3000
136;house;Вилюйский тракт 3 км;44951;7;30;23000
137;house;Вилюйский тракт 3 км;29;23;20;-3000
138;house;Вилюйский тракт 3 км;27;0;24;24000
139;house;Вилюйский тракт 3 км;44949;18;20;2000
140;house;Вилюйский тракт 3 км;31;25;28;3000
141;house;Вилюйский тракт 3 км;44953;4;22;18000
142;yes;Вилюйский тракт 3 км;45078;13;30;17000
143;yes;Вилюйский тракт 3 км;44927;12;37;25000
144;yes;Вилюйский тракт 3 км;44958;14;12;-2000
145;house;Вилюйский тракт 3 км;49;4;33;29000
146;yes;Вилюйский тракт 3 км;45078;5;34;29000
147;yes;Вилюйский тракт 5 км;5;9;18;9000
148;yes;Вилюйский тракт 5 км;3;7;19;12000
149;yes;Вилюйский тракт 5 км;к4;14;30;16000
150;yes;Вилюйский тракт 5 км;1А;29;12;-17000
151;house;Вилюйский тракт 7км;43/3;12;27;15000
152;house;Вилюйский тракт 7км;48/1;19;36;17000
153;residential;Гимеинская улица;2;5;37;32000
154;yes;Гимеинская улица;7;1;27;26000
155;residential;Гимеинская улица;9;0;33;33000
156;yes;Гимеинская улица;44935;27;24;-3000
157;residential;Гимеинская улица;21Б;15;29;14000
158;residential;Гимеинская улица;30;2;29;27000
159;residential;Гимеинская улица;15;15;13;-2000
160;residential;Гимеинская улица;19;0;32;32000
161;residential;Гимеинская улица;13;26;17;-9000
162;yes;Гимеинская улица;45040;16;36;20000
163;residential;Гимеинская улица;11;21;11;-10000
164;residential;Гимеинская улица;20;2;28;26000
165;residential;Гимеинская улица;12;5;26;21000
166;residential;Гимеинская улица;22;23;22;-1000
167;residential;Гимеинская улица;16;5;30;25000
168;residential;Гимеинская улица;10;14;32;18000
169;residential;Гимеинская улица;14;28;20;-8000
170;residential;Гимеинская улица;44942;13;16;3000
171;residential;Гимеинская улица;6;5;37;32000
172;residential;Гимеинская улица;8;3;32;29000
173;residential;Гимеинская улица;29;29;10;-19000
174;residential;Гимеинская улица;21А;28;31;3000
175;dormitory;Гимеинская улица;21;11;20;9000
176;residential;Гимеинская улица;25;24;31;7000
177;house;Гимеинская улица;32/9;12;27;15000
178;residential;Гимеинская улица;18;2;27;25000
179;residential;Гимеинская улица;23;10;26;16000
180;dormitory;Гимеинская улица;24;15;20;5000
181;residential;Гимеинская улица;31;13;15;2000
182;residential;Гимеинская улица;17;23;9;-14000
183;house;Гимеинская улица;31/1Б;17;15;-2000
184;house;Гимеинская улица;31Б;22;20;-2000
185;house;Гимеинская улица;31/2;15;14;-1000
186;house;Гимеинская улица;31/14;22;36;14000
187;house;Гимеинская улица;45016;6;14;8000
188;house;Гимеинская улица;31/4;30;27;-3000
189;house;Гимеинская улица;45077;0;21;21000
190;house;Гимеинская улица;31/6;28;26;-2000
191;house;Гимеинская улица;45138;30;20;-10000
192;house;Гимеинская улица;45165;7;21;14000
193;house;Гимеинская улица;45230;3;34;31000
194;residential;Ильменская улица;63;10;31;21000
195;residential;Ильменская улица;59/4;20;21;1000
196;residential;Ильменская улица;63/2;19;15;-4000
197;residential;Ильменская улица;;2;29;27000
198;residential;Ильменская улица;59;25;13;-12000
199;residential;Ильменская улица;57/9;9;35;26000
200;house;Ильменская улица;61/1А;4;19;15000
201;apartments;Ильменская улица;61/1Б;16;26;10000
202;residential;Ильменская улица;57;13;26;13000
203;house;Ильменская улица;9;12;34;22000
204;house;Ильменская улица;11;22;37;15000
205;house;Ильменская улица;1;0;21;21000
206;house;Ильменская улица;13;26;36;10000
207;yes;Ильменская улица;3;29;17;-12000
208;yes;Ильменская улица;7;27;13;-14000
209;house;Ильменская улица;15;15;19;4000
210;house;Ильменская улица;5;8;31;23000
211;house;Ильменская улица;17;3;27;24000
212;yes;Ильменская улица;53/2;19;10;-9000
213;apartments;Ильменская улица;57/4;2;23;21000
214;house;Ильменская улица;45;21;31;10000
215;yes;Ильменская улица;25;19;27;8000
216;yes;Ильменская улица;55/4;24;33;9000
217;apartments;Ильменская улица;57/2;4;22;18000
218;residential;Ильменская улица;55/4;7;14;7000
219;residential;Ильменская улица;61/8;0;31;31000
220;house;Ильменская улица;33/1;17;16;-1000
221;apartments;Ильменская улица;57/8;20;35;15000
222;yes;Ильменская улица;27;0;15;15000
223;house;Ильменская улица;47;11;17;6000
224;house;Ильменская улица;55/1;8;24;16000
225;house;Ильменская улица;39;9;35;26000
226;apartments;Ильменская улица;57/5;18;11;-7000
227;residential;Ильменская улица;59/2;2;16;14000
228;house;Ильменская улица;51;15;14;-1000
229;yes;Ильменская улица;49;3;16;13000
230;apartments;Ильменская улица;57/6;20;31;11000
231;house;Ильменская улица;53;4;37;33000
232;yes;Ильменская улица;19;17;37;20000
233;residential;Ильменская улица;33;11;25;14000
234;apartments;Ильменская улица;57/7;10;27;17000
235;house;Ильменская улица;35;4;31;27000
236;residential;Ильменская улица;31;21;17;-4000
237;house;Ильменская улица;55/2;30;24;-6000
238;apartments;Ильменская улица;57/3;9;34;25000
239;house;Ильменская улица;43;19;23;4000
240;yes;Ильменская улица;53/2;8;25;17000
241;house;Ильменская улица;64;6;36;30000
242;house;Ильменская улица;62;14;37;23000
243;house;Ильменская улица;68;26;12;-14000
244;house;Ильменская улица;92/1;6;29;23000
245;house;Ильменская улица;10;26;33;7000
246;house;Ильменская улица;46;27;17;-10000
247;house;Ильменская улица;32;13;23;10000
248;house;Ильменская улица;90/1;23;11;-12000
249;house;Ильменская улица;8;13;19;6000
250;house;Ильменская улица;84;25;13;-12000
251;house;Ильменская улица;48;19;13;-6000
252;house;Ильменская улица;82;29;10;-19000
253;house;Ильменская улица;66;17;28;11000
254;house;Ильменская улица;12;0;36;36000
255;yes;Ильменская улица;70А;0;10;10000
256;house;Ильменская улица;20;24;21;-3000
257;house;Ильменская улица;86;24;24;0
258;yes;Ильменская улица;34;16;13;-3000
259;house;Ильменская улица;14;28;10;-18000
260;yes;Ильменская улица;38;13;27;14000
261;house;Ильменская улица;22;3;35;32000
262;apartments;Ильменская улица;63;20;9;-11000
263;house;Ильменская улица;44946;28;23;-5000
264;house;Ильменская улица;72/1;22;23;1000
265;house;Ильменская улица;50;30;34;4000
266;house;Ильменская улица;88;25;28;3000
267;house;Ильменская улица;16;26;34;8000
268;yes;Ильменская улица;36;20;31;11000
269;house;Ильменская улица;24;26;17;-9000
270;house;Ильменская улица;74;25;16;-9000
271;house;Ильменская улица;18;29;27;-2000
272;yes;Ильменская улица;40;25;34;9000
273;house;Ильменская улица;26;2;14;12000
274;house;Ильменская улица;76;21;20;-1000
275;house;Ильменская улица;78;13;28;15000
276;house;Ильменская улица;4;20;26;6000
277;yes;Ильменская улица;44;25;36;11000
278;yes;Ильменская улица;58;10;37;27000
279;yes;Ильменская улица;42;6;37;31000
280;house;Ильменская улица;80;10;20;10000
281;house;Ильменская улица;60;17;9;-8000
282;house;Ильменская улица;90;4;26;22000
283;house;Ильменская улица;54;9;19;10000
284;house;Ильменская улица;92/6;14;15;1000
285;house;Ильменская улица;92;6;22;16000
286;house;Ильменская улица;28;28;32;4000
287;house;Ильменская улица;6;24;16;-8000
288;house;Ильменская улица;92/4;16;15;-1000
289;house;Ильменская улица;52;16;14;-2000
290;house;Ильменская улица;56;13;16;3000
291;yes;Ильменская улица;20/1а;9;29;20000
292;yes;Ильменская улица;23;25;24;-1000
293;house;Ильменская улица;37;28;18;-10000
294;residential;Ильменская улица;63/1;15;36;21000
295;yes;Ильменская улица;27Б;17;22;5000
296;residential;Ильменская улица;29;11;37;26000
297;apartments;Ильменская улица;55/5Б;19;27;8000
298;apartments;Ильменская улица;57 к4А;19;16;-3000
299;apartments;Ильменская улица;59А;24;29;5000
300;residential;Ильменская улица;61/1;24;31;7000
301;yes;Мерзлотная улица;28;4;32;28000
302;yes;Мерзлотная улица;29;6;18;12000
303;yes;Мерзлотная улица;31;9;20;11000
304;yes;Мерзлотная улица;44941;30;15;-15000
305;yes;Мерзлотная улица;14;29;37;8000
306;yes;Мерзлотная улица;12;30;36;6000
307;yes;Мерзлотная улица;11;0;26;26000
308;yes;Мерзлотная улица;15;11;25;14000
309;yes;Мерзлотная улица;13;16;24;8000
310;yes;Мерзлотная улица;10;0;9;9000
311;yes;Мерзлотная улица;16;24;18;-6000
312;yes;Мерзлотная улица;9;16;12;-4000
313;yes;Мерзлотная улица;42;5;36;31000
314;yes;Мерзлотная улица;33/4;8;24;16000
315;yes;Мерзлотная улица;41;18;27;9000
316;yes;Мерзлотная улица;32;0;17;17000
317;yes;Мерзлотная улица;33/4;15;15;0
318;yes;Мерзлотная улица;33/1;14;28;14000
319;yes;Мерзлотная улица;44933;23;11;-12000
320;yes;Мерзлотная улица;8/2А;17;15;-2000
321;yes;Мерзлотная улица;17;7;32;25000
322;yes;Мерзлотная улица;44979;17;10;-7000
323;yes;Мерзлотная улица;8;12;36;24000
324;yes;Мерзлотная улица;36;30;21;-9000
325;yes;Мерзлотная улица;7;7;23;16000
326;yes;Мерзлотная улица;19;5;34;29000
327;yes;Мерзлотная улица;39;1;37;36000
328;yes;Мерзлотная улица;35/1;2;20;18000
329;yes;Мерзлотная улица;5нс;10;26;16000
330;yes;Мерзлотная улица;44953;26;17;-9000
331;yes;Мерзлотная улица;30;3;26;23000
332;yes;Мерзлотная улица;24;27;32;5000
333;yes;Мерзлотная улица;27;28;13;-15000
334;yes;Мерзлотная улица;28А;30;24;-6000
335;yes;Мерзлотная улица;22;8;34;26000
336;yes;Мерзлотная улица;40;15;34;19000
337;yes;Мерзлотная улица;44948;7;28;21000
338;yes;Мерзлотная улица;5;20;27;7000
339;yes;Мерзлотная улица;44946;12;24;12000
340;yes;Мерзлотная улица;25;11;18;7000
341;yes;Мерзлотная улица;18;15;34;19000
342;yes;Мерзлотная улица;8А;18;37;19000
343;yes;Мерзлотная улица;44965;19;15;-4000
344;yes;Мерзлотная улица;35;25;17;-8000
345;yes;Мерзлотная улица;6;18;21;3000
346;yes;Мерзлотная улица;18Д;7;11;4000
347;yes;Мерзлотная улица;26;27;28;1000
348;yes;Мерзлотная улица;28/2В;11;17;6000
349;yes;Мерзлотная улица;21;20;27;7000
350;yes;Мерзлотная улица;23;19;16;-3000
351;yes;Мерзлотная улица;38;15;35;20000
352;yes;Мерзлотная улица;44977;14;21;7000
353;yes;Мерзлотная улица;44984;14;20;6000
354;yes;Мерзлотная улица;35/1а;8;15;7000
355;yes;Ново-Карьерная улица;8;6;13;7000
356;yes;Ново-Карьерная улица;6;1;27;26000
357;yes;Ново-Карьерная улица;10;1;32;31000
358;yes;Ново-Карьерная улица;44930;17;33;16000
359;yes;Ново-Карьерная улица;2;13;36;23000
360;yes;Ново-Карьерная улица;44928;9;14;5000
361;yes;Ново-Карьерная улица;4;25;10;-15000
362;residential;Ново-Карьерная улица;23;29;13;-16000
363;apartments;Ново-Карьерная улица;31;25;29;4000
364;house;Ново-Карьерная улица;45068;8;18;10000
365;residential;Ново-Карьерная улица;25;26;21;-5000
366;house;Ново-Карьерная улица;11;19;36;17000
367;yes;Ново-Карьерная улица;16;6;21;15000
368;house;Ново-Карьерная улица;45099;25;21;-4000
369;house;Ново-Карьерная улица;3;19;11;-8000
370;apartments;Ново-Карьерная улица;44977;20;28;8000
371;yes;Ново-Карьерная улица;18;27;17;-10000
372;house;Ново-Карьерная улица;13;14;31;17000
373;house;Ново-Карьерная улица;9;21;15;-6000
374;apartments;Ново-Карьерная улица;45005;14;23;9000
375;apartments;Ново-Карьерная улица;44946;24;35;11000
376;house;Ново-Карьерная улица;45160;5;25;20000
377;house;Ново-Карьерная улица;45038;9;19;10000
378;house;Ново-Карьерная улица;5;27;30;3000
379;residential;Ново-Карьерная улица;21;26;26;0
380;residential;Ново-Карьерная улица;44955;23;12;-11000
381;apartments;Ново-Карьерная улица;45036;29;15;-14000
382;residential;Ново-Карьерная улица;17;14;22;8000
383;yes;Ново-Карьерная улица;12;9;20;11000
384;house;Ново-Карьерная улица;44933;6;30;24000
385;apartments;Ново-Карьерная улица;44979;20;16;-4000
386;residential;Ново-Карьерная улица;27;27;10;-17000
387;house;Ново-Карьерная улица;7;22;9;-13000
388;house;Ново-Карьерная улица;1;26;9;-17000
389;residential;Ново-Карьерная улица;29;20;21;1000
390;house;Ново-Карьерная улица;37;26;28;2000
391;house;Ново-Карьерная улица;35;29;26;-3000
392;house;Ново-Карьерная улица;33;13;12;-1000
393;house;Ново-Карьерная улица;45014;30;30;0
394;house;Ново-Карьерная улица;29/2;4;36;32000
395;house;Ново-Карьерная улица;45045;28;28;0
396;yes;Ново-Карьерная улица;27/2а;7;13;6000
397;house;Ново-Карьерная улица;45129;24;17;-7000
398;yes;Ново-Карьерная улица;16 к2;27;18;-9000
399;house;Ново-Карьерная улица;45191;14;25;11000
400;yes;Ново-Сайсарская улица;44989;30;22;-8000
401;yes;Ново-Сайсарская улица;45203;4;30;26000
402;house;Парковая улица;27;21;13;-8000
403;house;Парковая улица;9;10;23;13000
404;yes;Парковая улица;14;1;10;9000
405;yes;Парковая улица;36;25;22;-3000
406;yes;Парковая улица;18;21;19;-2000
407;yes;Парковая улица;38;4;19;15000
408;house;Парковая улица;28;14;35;21000
409;yes;Парковая улица;33;28;22;-6000
410;house;Парковая улица;32;21;9;-12000
411;yes;Парковая улица;4;5;16;11000
412;yes;Парковая улица;16;25;29;4000
413;house;Парковая улица;26;16;25;9000
414;yes;Парковая улица;2;29;16;-13000
415;yes;Парковая улица;34;7;23;16000
416;house;Парковая улица;13;17;37;20000
417;apartments;Парковая улица;44;5;23;18000
418;house;Парковая улица;24;14;9;-5000
419;yes;Парковая улица;40;25;31;6000
420;house;Парковая улица;31;9;27;18000
421;yes;Парковая улица;6;2;35;33000
422;house;Парковая улица;20;1;30;29000
423;yes;Парковая улица;8;13;28;15000
424;yes;Парковая улица;42;1;21;20000
425;yes;Парковая улица;37;4;29;25000
426;house;Парковая улица;19;13;24;11000
427;apartments;Парковая улица;46;17;15;-2000
428;yes;Парковая улица;10;25;15;-10000
429;yes;Парковая улица;44950;28;17;-11000
430;house;Парковая улица;17;14;9;-5000
431;yes;Парковая улица;39;8;20;12000
432;house;Парковая улица;22;5;31;26000
433;house;Парковая улица;23;23;10;-13000
434;house;Парковая улица;1;12;30;18000
435;house;Парковая улица;15;15;16;1000
436;yes;Парковая улица;41;28;36;8000
437;apartments;Парковая улица;50;28;18;-10000
438;house;Парковая улица;5;6;25;19000
439;apartments;Парковая улица;52;20;30;10000
440;yes;Парковая улица;43;2;15;13000
441;house;Парковая улица;3;22;32;10000
442;house;Парковая улица;29;2;37;35000
443;apartments;Парковая улица;48;17;15;-2000
444;yes;Парковая улица;12;11;19;8000
445;house;Парковая улица;7;20;10;-10000
446;apartments;Парковая улица;65;28;24;-4000
447;house;Парковая улица;11;18;21;3000
448;residential;Радужная улица;69/12;28;22;-6000
449;yes;Сергеляхское шоссе;4;11;36;25000
450;yes;Сергеляхское шоссе;4;24;9;-15000
451;yes;Сергеляхское шоссе;45170;6;25;19000
452;yes;Сергеляхское шоссе;45265;27;17;-10000
453;apartments;Сергеляхское шоссе;44932;26;34;8000
454;yes;Сергеляхское шоссе 10 км;2;18;34;16000
455;yes;Сергеляхское шоссе 10 км;47;4;10;6000
456;yes;Сергеляхское шоссе 11км;1;12;23;11000
457;yes;Сергеляхское шоссе 12 км;42125;9;23;14000
458;yes;Сергеляхское шоссе 12 км;44927;26;21;-5000
459;yes;Сергеляхское шоссе 12 км;45204;8;19;11000
460;yes;Сергеляхское шоссе 12 км;45235;29;12;-17000
461;yes;Сергеляхское шоссе 12 км;39816;29;17;-12000
462;residential;Сергеляхское шоссе 12 км;44933;16;12;-4000
463;residential;Сергеляхское шоссе 12 км;16;12;27;15000
464;residential;Сергеляхское шоссе 12 км;7;18;17;-1000
465;yes;Сергеляхское шоссе 12 км;44940;22;9;-13000
466;yes;Сергеляхское шоссе 12 км;44966;21;29;8000
467;residential;Сергеляхское шоссе 12 км;38;2;20;18000
468;yes;Сергеляхское шоссе 12 км;3;27;36;9000
469;yes;Сергеляхское шоссе 12 км;44940;14;15;1000
470;yes;Сергеляхское шоссе 12 км;45201;11;25;14000
471;house;Сергеляхское шоссе 12 км;А1/8;17;25;8000
472;yes;Сергеляхское шоссе 5 км;14;6;15;9000
473;yes;Сергеляхское шоссе 5 км;44938;6;10;4000
474;yes;Сергеляхское шоссе 5 км;20;18;22;4000
475;yes;Сергеляхское шоссе 5 км;44934;28;12;-16000
476;yes;Сергеляхское шоссе 5 км;44934;26;22;-4000
477;yes;Сергеляхское шоссе 8 км;1;18;29;11000
478;residential;Советская улица;25;12;11;-1000
479;house;Советская улица;7;18;27;9000
480;house;Советская улица;5;14;36;22000
481;yes;Советская улица;2;19;18;-1000
482;yes;Советская улица;16;13;37;24000
483;yes;Советская улица;3;26;33;7000
484;yes;Советская улица;44932;6;9;3000
485;yes;Советская улица;6А;16;12;-4000
486;yes;Советская улица;44963;17;25;8000
487;yes;Советская улица;4;14;15;1000
488;yes;Советская улица;12;16;23;7000
489;yes;Сосновая улица;14;2;25;23000
490;house;Сосновая улица;49;19;35;16000
491;house;Сосновая улица;23;26;20;-6000
492;house;Сосновая улица;9;6;29;23000
493;yes;Сосновая улица;16;21;20;-1000
494;house;Сосновая улица;25;1;9;8000
495;house;Сосновая улица;26;6;17;11000
496;house;Сосновая улица;37;11;31;20000
497;yes;Сосновая улица;10;25;10;-15000
498;house;Сосновая улица;34;25;26;1000
499;house;Сосновая улица;22;20;23;3000
500;yes;Сосновая улица;4;9;15;6000
501;yes;Сосновая улица;18;28;16;-12000
502;house;Сосновая улица;31;28;37;9000
503;house;Сосновая улица;53;7;13;6000
504;apartments;Сосновая улица;6;22;15;-7000
505;house;Сосновая улица;29;30;11;-19000
506;house;Сосновая улица;36;17;37;20000
507;house;Сосновая улица;44;14;21;7000
508;yes;Сосновая улица;17;9;10;1000
509;apartments;Сосновая улица;20;20;31;11000
510;house;Сосновая улица;59/1;20;19;-1000
511;yes;Сосновая улица;19;23;14;-9000
512;house;Сосновая улица;30;24;29;5000
513;yes;Сосновая улица;44935;22;20;-2000
514;yes;Сосновая улица;13;20;19;-1000
515;house;Сосновая улица;57;25;30;5000
516;house;Сосновая улица;33;13;33;20000
517;house;Сосновая улица;28;30;17;-13000
518;house;Сосновая улица;55;10;31;21000
519;house;Сосновая улица;35;9;11;2000
520;house;Сосновая улица;32;16;14;-2000
521;house;Сосновая улица;40;27;28;1000
522;house;Сосновая улица;1;28;35;7000
523;house;Сосновая улица;63;20;31;11000
524;house;Сосновая улица;38;16;20;4000
525;house;Сосновая улица;3;9;27;18000
526;house;Сосновая улица;44949;12;29;17000
527;apartments;Сосновая улица;2;2;17;15000
528;yes;Сосновая улица;21;3;37;34000
529;house;Сосновая улица;58;29;36;7000
530;house;Сосновая улица;54;13;23;10000
531;house;Сосновая улица;65/3;23;31;8000
532;yes;Сосновая улица;15;24;14;-10000
533;house;Сосновая улица;5;24;10;-14000
534;yes;Сосновая улица;8;30;18;-12000
535;house;Сосновая улица;65/5;21;15;-6000
536;house;Сосновая улица;39;10;9;-1000
537;yes;Сосновая улица;11;4;26;22000
538;house;Сосновая улица;50;9;29;20000
539;house;Сосновая улица;46;13;20;7000
540;house;Сосновая улица;52;5;18;13000
541;house;Сосновая улица;43;13;33;20000
542;house;Сосновая улица;7;14;32;18000
543;house;Сосновая улица;27;4;11;7000
544;house;Сосновая улица;48;16;16;0
545;house;Сосновая улица;65А;12;29;17000
546;house;Сосновая улица;66/1;22;28;6000
547;house;Сосновая улица;62;13;19;6000
548;house;Сосновая улица;75;14;26;12000
549;house;Сосновая улица;60;4;32;28000
550;house;Сосновая улица;70;18;25;7000
551;house;Сосновая улица;77;2;28;26000
552;house;Сосновая улица;72;7;16;9000
553;house;Сосновая улица;56/1;5;28;23000
554;house;Сосновая улица;69;17;12;-5000
555;house;Сосновая улица;58/1;6;13;7000
556;house;Сосновая улица;64А;25;10;-15000
557;house;Сосновая улица;79/2;17;20;3000
558;house;Сосновая улица;66;13;9;-4000
559;house;Сосновая улица;79;20;36;16000
560;house;Сосновая улица;64;21;27;6000
561;house;Сосновая улица;65;16;21;5000
562;house;Сосновая улица;41;29;13;-16000
563;house;Сосновая улица;42;17;14;-3000
564;house;Сосновая улица;59;16;28;12000
565;house;Сосновая улица;24;16;26;10000
566;house;улица Бекетова;47;30;28;-2000
567;house;улица Бекетова;49;5;26;21000
568;apartments;улица Бекетова;18;14;18;4000
569;yes;улица Бекетова;1;24;28;4000
570;house;улица Бекетова;51;19;17;-2000
571;yes;улица Бекетова;17;6;35;29000
572;house;улица Бекетова;27;4;29;25000
573;yes;улица Бекетова;21;2;10;8000
574;house;улица Бекетова;29;30;34;4000
575;house;улица Бекетова;55;18;14;-4000
576;yes;улица Бекетова;19;24;29;5000
577;house;улица Бекетова;53;17;29;12000
578;yes;улица Бекетова;44937;11;12;1000
